agglomeration,good_mph_before,good_mph_after,good_util_before,good_util_after,average_mph_before,average_mph_after,average_util_before,average_util_after
Krasnodar,650.41098183376,683.2146421357231,0.68682609688183,0.7350076484384387,581.0111147701672,565.0472098713914,0.603241388438442,0.5784274957538471
Nizhny Novgorod,616.0120784128009,637.9835347383133,0.6046804408653659,0.6372716308745182,591.002211690088,576.1466527779166,0.5710294046262063,0.5557821563422102
Novosibirsk,682.0760292227855,715.4789131518953,0.6965638458226334,0.7237932093762687,656.7818957400266,639.7549912040915,0.6692735685306833,0.6501130691530237
Rostov-on-Don,675.0397449915711,695.3637671879011,0.7177563559019605,0.752489148713883,644.4237949284168,629.6826458575902,0.6727118239480966,0.651263013736582
