,is_weekend,hour,hex_6,unique_drivers,util_time,all_time,util,completed_deliveries,confirmed_deliveries,cdr
68,0,1,8611aa4e7ffffff,37,138,577,0.2391681109185442,1,1,1.0
69,0,1,8611aa4efffffff,88,798,1659,0.4810126582278481,18,21,0.8571428571428571
70,0,1,8611aa4f7ffffff,11,25,60,0.4166666666666667,1,1,1.0
71,0,1,8611aa607ffffff,57,319,678,0.47050147492625366,7,7,1.0
72,0,1,8611aa617ffffff,83,789,1489,0.5298858294157153,19,21,0.9047619047619048
73,0,1,8611aa61fffffff,56,287,835,0.3437125748502994,9,10,0.9
74,0,1,8611aa627ffffff,60,569,1199,0.4745621351125938,11,11,1.0
75,0,1,8611aa62fffffff,46,126,228,0.5526315789473685,1,1,1.0
76,0,1,8611aa637ffffff,113,2019,2801,0.7208139950017851,46,48,0.9583333333333334
77,0,1,8611aa677ffffff,4,3,5,0.6,1,1,1.0
78,0,1,8611aa687ffffff,82,330,642,0.514018691588785,1,4,0.25
79,0,1,8611aa68fffffff,20,130,201,0.6467661691542289,3,4,0.75
80,0,1,8611aa697ffffff,67,333,553,0.6021699819168174,5,6,0.8333333333333334
81,0,1,8611aa69fffffff,1,0,1,0.0,1,1,1.0
82,0,1,8611aa6a7ffffff,105,766,1717,0.44612696563774024,19,26,0.7307692307692307
83,0,1,8611aa6afffffff,82,412,912,0.4517543859649123,7,7,1.0
84,0,1,8611aa6b7ffffff,94,701,1850,0.37891891891891893,13,15,0.8666666666666667
85,0,1,8611aa6dfffffff,8,20,57,0.3508771929824561,1,1,1.0
86,0,1,8611aa707ffffff,72,528,1363,0.3873807776962582,9,9,1.0
87,0,1,8611aa70fffffff,77,627,1430,0.43846153846153846,21,21,1.0
88,0,1,8611aa717ffffff,124,1314,2604,0.5046082949308756,29,32,0.90625
89,0,1,8611aa71fffffff,90,1112,1515,0.733993399339934,20,23,0.8695652173913043
90,0,1,8611aa727ffffff,47,220,526,0.41825095057034223,2,3,0.6666666666666666
91,0,1,8611aa72fffffff,56,395,967,0.40847983453981385,9,10,0.9
92,0,1,8611aa737ffffff,50,259,620,0.41774193548387095,3,3,1.0
93,0,1,8611aa757ffffff,51,257,404,0.6361386138613861,6,7,0.8571428571428571
94,0,1,8611aa767ffffff,5,9,24,0.375,2,2,1.0
95,0,1,8611aa76fffffff,1,0,91,0.0,1,1,1.0
96,0,1,8611aa787ffffff,123,1649,2578,0.6396431342125679,34,34,1.0
97,0,1,8611aa78fffffff,152,1967,3324,0.5917569193742479,47,49,0.9591836734693877
98,0,1,8611aa797ffffff,73,559,1364,0.40982404692082114,25,27,0.9259259259259259
99,0,1,8611aa79fffffff,73,327,669,0.48878923766816146,10,10,1.0
100,0,1,8611aa7a7ffffff,99,905,1608,0.5628109452736318,9,13,0.6923076923076923
101,0,1,8611aa7afffffff,163,2352,3534,0.66553480475382,40,45,0.8888888888888888
102,0,1,8611aa7b7ffffff,76,640,1448,0.4419889502762431,12,13,0.9230769230769231
103,0,2,861181a4fffffff,23,91,359,0.25348189415041783,1,2,0.5
104,0,2,861181a57ffffff,6,33,101,0.32673267326732675,1,1,1.0
105,0,2,861181a5fffffff,1,0,6,0.0,1,1,1.0
106,0,2,861181a6fffffff,58,371,1008,0.3680555555555556,1,1,1.0
107,0,2,861181aa7ffffff,4,4,7,0.5714285714285714,0,0,0.0
108,0,2,861181b0fffffff,25,72,377,0.1909814323607427,1,1,1.0
109,0,2,861181b2fffffff,30,201,584,0.3441780821917808,3,5,0.6
110,0,2,861181b47ffffff,128,727,1421,0.5116115411681914,5,5,1.0
111,0,2,861181b4fffffff,171,827,2544,0.32507861635220126,29,32,0.90625
112,0,2,861181b67ffffff,177,1663,4195,0.3964243146603099,30,32,0.9375
113,0,2,861181b6fffffff,138,1589,3758,0.4228312932410857,23,25,0.92
114,0,2,861181b77ffffff,69,364,1675,0.21731343283582089,8,8,1.0
115,0,2,8611aa09fffffff,36,250,990,0.25252525252525254,6,7,0.8571428571428571
116,0,2,8611aa0c7ffffff,15,82,213,0.38497652582159625,4,4,1.0
117,0,2,8611aa0e7ffffff,16,80,222,0.36036036036036034,3,3,1.0
118,0,2,8611aa197ffffff,17,116,349,0.332378223495702,5,6,0.8333333333333334
119,0,2,8611aa40fffffff,22,59,410,0.14390243902439023,5,5,1.0
