,is_weekend,hour,hex_6,unique_drivers,util,cdr
0,0,0,861181a47ffffff,1,0.49019607843137253,1.0
1,0,0,861181a57ffffff,1,1.0,0.0
2,0,0,861181b2fffffff,10,0.05263157894736842,1.0
3,0,0,861181b47ffffff,24,0.5882352941176471,0.75
4,0,0,861181b4fffffff,21,0.2510822510822511,1.0
5,0,0,861181b67ffffff,55,0.26301115241635686,1.0
6,0,0,861181b6fffffff,27,0.29065040650406504,1.0
7,0,0,861181b77ffffff,19,0.3539518900343643,1.0
8,0,0,8611aa09fffffff,6,0.39473684210526316,0.5
9,0,0,8611aa447ffffff,41,0.4496124031007752,1.0
10,0,0,8611aa44fffffff,27,0.504424778761062,1.0
11,0,0,8611aa457ffffff,6,0.6461538461538462,1.0
12,0,0,8611aa45fffffff,91,0.7901200111638292,0.8571428571428571
13,0,0,8611aa46fffffff,42,0.5363636363636364,1.0
14,0,0,8611aa4c7ffffff,25,0.24634655532359082,0.875
15,0,0,8611aa4cfffffff,47,0.3219178082191781,1.0
16,0,0,8611aa4d7ffffff,5,0.29411764705882354,1.0
17,0,0,8611aa4dfffffff,20,0.5,1.0
18,0,0,8611aa4e7ffffff,16,0.3028720626631854,1.0
19,0,0,8611aa4efffffff,51,0.3933774834437086,0.75
20,0,0,8611aa607ffffff,35,0.5555555555555556,1.0
21,0,0,8611aa617ffffff,54,0.48626373626373626,0.5714285714285714
22,0,0,8611aa61fffffff,23,0.3333333333333333,1.0
23,0,0,8611aa627ffffff,36,0.546112115732369,1.0
24,0,0,8611aa637ffffff,58,0.6503164556962026,0.8461538461538461
25,0,0,8611aa687ffffff,44,0.45689655172413796,0.75
26,0,0,8611aa68fffffff,12,0.2835820895522388,1.0
27,0,0,8611aa697ffffff,20,0.5909090909090909,1.0
28,0,0,8611aa6a7ffffff,65,0.5392670157068062,0.9166666666666666
29,0,0,8611aa6afffffff,31,0.5165394402035624,1.0
30,0,0,8611aa6b7ffffff,31,0.33568904593639576,1.0
31,0,0,8611aa707ffffff,41,0.3949930458970793,0.8571428571428571
32,0,0,8611aa70fffffff,40,0.34124087591240876,1.0
33,0,0,8611aa717ffffff,67,0.5560975609756098,1.0
34,0,0,8611aa71fffffff,54,0.5960170697012802,1.0
35,0,0,8611aa727ffffff,48,0.5509259259259259,0.6666666666666666
36,0,0,8611aa72fffffff,42,0.3076923076923077,0.6666666666666666
37,0,0,8611aa737ffffff,51,0.5,1.0
38,0,0,8611aa74fffffff,1,0.0,1.0
39,0,0,8611aa757ffffff,27,0.7834394904458599,1.0
40,0,0,8611aa787ffffff,61,0.670514165792235,0.96
41,0,0,8611aa78fffffff,82,0.548235294117647,0.96
42,0,0,8611aa797ffffff,38,0.5167785234899329,1.0
43,0,0,8611aa79fffffff,49,0.4622823984526112,0.8
44,0,0,8611aa7a7ffffff,54,0.5529573590096286,0.7272727272727273
45,0,0,8611aa7afffffff,79,0.6468005018820577,0.8888888888888888
46,0,0,8611aa7b7ffffff,36,0.3947730398899587,1.0
47,0,1,861181a47ffffff,1,0.07692307692307693,1.0
48,0,1,861181a57ffffff,2,0.6842105263157895,1.0
49,0,1,861181a6fffffff,32,0.3368421052631579,1.0
50,0,1,861181b0fffffff,14,0.3089430894308943,1.0
51,0,1,861181b2fffffff,11,0.22549019607843138,1.0
52,0,1,861181b47ffffff,57,0.6712707182320442,1.0
53,0,1,861181b4fffffff,68,0.44464609800362975,0.5
54,0,1,861181b67ffffff,85,0.38097796883396023,0.5555555555555556
55,0,1,861181b6fffffff,67,0.294167371090448,1.0
56,0,1,861181b77ffffff,35,0.20321931589537223,0.5
57,0,1,86118cd27ffffff,5,0.1342281879194631,1.0
58,0,1,8611aa0c7ffffff,3,0.23076923076923078,1.0
59,0,1,8611aa447ffffff,37,0.2542857142857143,1.0
60,0,1,8611aa44fffffff,45,0.4864321608040201,1.0
61,0,1,8611aa457ffffff,23,0.6560693641618497,0.8333333333333334
62,0,1,8611aa45fffffff,112,0.7368575624082232,0.8
63,0,1,8611aa46fffffff,24,0.6424870466321243,1.0
64,0,1,8611aa4c7ffffff,70,0.39452054794520547,0.8846153846153846
65,0,1,8611aa4cfffffff,76,0.32645403377110693,0.5
66,0,1,8611aa4d7ffffff,10,0.0273972602739726,1.0
67,0,1,8611aa4dfffffff,35,0.39278131634819535,1.0
68,0,1,8611aa4e7ffffff,37,0.2391681109185442,1.0
69,0,1,8611aa4efffffff,88,0.4810126582278481,0.8571428571428571
